dataset_id,slug,titulo,categoria,organizacion,recurso_nombre,formato,url_origen,ruta_local,bytes,http_status,sha256
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,ano-2021-2024-desagregado.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/ano-2021-2024-desagregado.xlsx,datasets/22-residuos/archivos/ano-2021-2024-desagregado.xlsx,46748,200,eca62a95709fc9f9d48466e6dbff3348c5042885a14a05d4ebe149eca97afb86
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,puntos-limpios.kml,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/puntos-limpios.kml,datasets/22-residuos/archivos/puntos-limpios.kml,35419,200,ad9d145970bf6ad2ae3cdf4211f886c3a941e018b02f514c103e65ca9dcf6db4
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,1752758959634-VENTAS 2025.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/1752758959634-VENTAS 2025.xlsx,datasets/22-residuos/archivos/VENTAS 2025.xlsx,12203,200,911690b45b85f85f37e7b4aaaf85877bfbbe3dd812964a23f0d5838645de35a8
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,1752758959636-Cantidad RSU BORBOLLON (Años 2021-2022-2023-2024-2025).xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/1752758959636-Cantidad RSU BORBOLLON (Años 2021-2022-2023-2024-2025).xlsx,datasets/22-residuos/archivos/Cantidad RSU BORBOLLON (Años 2021-2022-2023-2024-2025).xlsx,19443,200,065ae7f803c7f7d99e3c086b669d0ef514d7e476d74037ec00c70f6e5b6b4823
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,1752758959639-Año 2021 al 2025  CENTRO VERDE-LUJAN DE CUYO.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/1752758959639-Año 2021 al 2025  CENTRO VERDE-LUJAN DE CUYO.xlsx,datasets/22-residuos/archivos/Año 2021 al 2025  CENTRO VERDE-LUJAN DE CUYO.xlsx,54564,200,bde35cac26ade0ea651d14e62009b1230064422d000811fa1f06f4f9957070a2
24,comisarias-lujn-de-cuyo,Comisarias Luján de Cuyo,Seguridad,Secretario del Juzgado Vial Nro 1,comisarias.kml,,https://datos.lujandecuyo.gob.ar/recursos/dataset/24/comisarias.kml,datasets/24-comisarias-lujn-de-cuyo/archivos/comisarias.kml,4866,200,11d3f8187ab91c5c0cf1e8dba5a995c2f810f1d650352120a8d318e43b31d44c
24,comisarias-lujn-de-cuyo,Comisarias Luján de Cuyo,Seguridad,Secretario del Juzgado Vial Nro 1,1752668626659-Comisarias_2025.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/24/1752668626659-Comisarias_2025.xlsx,datasets/24-comisarias-lujn-de-cuyo/archivos/Comisarias_2025.xlsx,4310,200,ee37efef581ba4e5d2f55098800e3b6c38739f855465206e026444d32d6e82f0
25,bancos,Bancos,Economía,Secretaría de Economía e Ingresos Públicos,bancos.csv,,https://datos.lujandecuyo.gob.ar/recursos/dataset/25/bancos.csv,datasets/25-bancos/archivos/bancos.csv,1086,200,bd3eae1ab9d3556d76373f28d8a56d7e4f094b180305696b16bc8d2e26a258de
26,estaciones-de-servicios,Estaciones de Servicios,Urbanismo y Territorio,Secretaría de Infraestructura y Desarrollo Sostenible,estaciones-de-servicios.csv,,https://datos.lujandecuyo.gob.ar/recursos/dataset/26/estaciones-de-servicios.csv,datasets/26-estaciones-de-servicios/archivos/estaciones-de-servicios.csv,1910,200,5d3d86a2a83f27b75b7040ab7e0a0d56edc9fedccde8d32dcc0f779b648b995c
27,farmacias,Farmacias,"Deporte, Educación y Salud",Secretaría de Desarrollo Humano,farmacias.csv,,https://datos.lujandecuyo.gob.ar/recursos/dataset/27/farmacias.csv,datasets/27-farmacias/archivos/farmacias.csv,2498,200,ff234bd8fd665a60746bd6eafc94e96ccb6d26b0f8b0f370d147769e91a966ca
